Mustafa384,736,News & Politics,26,68,0.0,0,0
xGarrYx,729,Pets & Animals,15,90,5.0,1,0
manfredjost,502,Howto & DIY,8,60,0.0,0,0
MuscleHead570,748,News & Politics,243,223,3.5,4,4
MuscleHead570,615,News & Politics,305,349,3.25,12,7
MuscleHead570,746,News & Politics,105,351,3.0,4,0
Tamirlan2000,747,People & Blogs,94,797,0.0,0,1
kellerblog,610,Entertainment,62,715,2.75,4,9
SouthAzerbaijan,741,People & Blogs,276,571,4.0,12,8
heyanna,0,UNA,354,3798,4.56,25,13
tunfiskur,696,Film & Animation,171,3283,5.0,24,30
xtrafficinthesky,461,People & Blogs,86,685,5.0,1,2
landorocks,749,Comedy,269,30,0.0,0,0
coolarcadesdotnet,635,Music,316,237,0.0,0,0
ruscain,713,News & Politics,459,83,0.0,0,0
ruscain,735,News & Politics,599,82,0.0,0,1
ArmyOfAngelz,744,Film & Animation,70,22,5.0,1,2
kliokinawa,547,Entertainment,231,42903,4.35,31,15
abbas10000,747,Travel & Places,173,25,0.0,0,0
artistpres,736,Film & Animation,106,8,5.0,1,0
yester78,636,Entertainment,127,81104,4.51,83,52
sugarygal77,715,Entertainment,377,7104,5.0,10,4
yester78,629,Entertainment,144,97866,4.58,66,37
yester78,643,Entertainment,124,79177,4.65,55,33
yester78,741,Entertainment,137,59378,4.73,75,26
yester78,720,Entertainment,124,32883,4.88,59,23
yester78,734,Entertainment,113,34015,4.87,38,26
yester78,713,Entertainment,112,18791,4.52,25,15
yester78,622,Entertainment,159,32884,4.88,42,21
yester78,616,Entertainment,148,25285,4.73,15,7
strnger,623,Entertainment,151,14852,4.91,11,8
IMDbJeebs,742,Entertainment,137,16685,4.78,36,9
AbuDunXX,644,Entertainment,124,25262,4.84,25,17
ea186,706,Entertainment,136,49181,4.81,32,25
AbuDunXX,735,Entertainment,113,30208,4.71,41,15
rtpsa,741,Comedy,53,18854,4.8,10,0
lantejoulaspower,740,Comedy,121,5144,4.86,21,1
lantejoulaspower,748,Comedy,124,1387,4.88,8,0
luismfm70,740,Comedy,51,1890,4.85,13,1
joaoneck,747,Comedy,50,2973,4.6,15,3
joaoneck,740,Comedy,52,1392,4.8,5,0
celiaccm,740,Comedy,52,394,0.0,0,0
flaviobei,534,Sports,23,1815,4.0,2,0
flaviobei,534,Sports,14,835,1.0,1,1
francsgs,345,News & Politics,63,19611,4.95,19,4
crianeo,636,Comedy,70,14843,4.7,23,2
hbesteiro,658,Comedy,63,7142,4.33,9,5
Patux73,587,People & Blogs,63,5796,5.0,6,0
JMMAPG,605,Comedy,63,1222,5.0,3,0
davidejcosta,692,People & Blogs,63,5718,4.67,6,4
pifo,609,People & Blogs,63,2244,5.0,4,0
pauloyahoo,613,People & Blogs,304,1743,5.0,3,0
jelsonbecker,698,People & Blogs,143,2196,5.0,2,0
TAMAGOaudiovisual,727,People & Blogs,83,30,5.0,1,0
dentistadobem,688,People & Blogs,179,369,0.0,0,0
Sugartalker,739,People & Blogs,156,520,5.0,18,21
123lucyfur,741,Entertainment,34,16310,4.93,15,15
LitoMizzThuy,572,Entertainment,480,547,4.67,3,1
crossadvocate,749,Entertainment,630,237,5.0,5,2
Akino2,604,Film & Animation,193,9884,3.71,38,13
merkamoon123,713,Entertainment,559,1461,5.0,5,0
KARAOKE4LIFE,702,Music,321,267,5.0,1,2
BNFIGHTSITE,748,Sports,53,156,2.0,1,1
nikolaib1983,672,Howto & DIY,376,17515,4.06,18,12
talmormedia,740,Film & Animation,164,35906,4.09,44,0
talmormedia,739,Film & Animation,345,5108,3.52,25,0
talmormedia,739,Film & Animation,107,1678,4.56,9,0
talmormedia,739,Film & Animation,151,1942,3.7,10,0
infinityworld,744,News & Politics,160,2894,4.56,9,13
LoftonFilms,747,Entertainment,277,671,2.33,6,1
moonlightbateman,746,News & Politics,471,485,0.0,0,0
aumprakash,747,News & Politics,98,544,3.0,4,4
rgbda,742,News & Politics,191,459,3.33,6,3
VisionTV2,743,Entertainment,51,669,4.0,4,0
deborahgotts,741,News & Politics,29,1076,5.0,2,3
NTprof,748,Entertainment,301,112,0.0,0,0
kryptologos,748,Film & Animation,510,47,1.0,1,0
MOB92207,741,Entertainment,29,315,5.0,2,0
kryptologos,748,Film & Animation,476,16,0.0,0,0
suesch,742,News & Politics,175,1513,3.81,16,0
talmormedia,739,Film & Animation,231,2463,3.95,19,0
talmormedia,739,Film & Animation,97,3702,4.38,13,0
2crazyboys,748,Music,125,329,1.0,1,1
RAPBIGICP1,604,Comedy,138,764,3.0,2,7
AlphaBravoV,734,Gadgets & Games,248,335,5.0,2,3
karljt,714,Comedy,53,1625,5.0,3,6
jack2454,714,Comedy,53,171,0.0,0,1
strballer23,671,Comedy,30,225,1.0,1,0
1stgirldotcom,714,Comedy,53,208,0.0,0,0
brokenmnms,382,Entertainment,8,1182,1.0,6,0
biotechguy0331,550,Comedy,16,1872,2.33,3,1
masonboy,712,Comedy,502,241,5.0,1,2
jones4carrie,140,Comedy,146,1191,1.75,4,3
Marlagg,608,News & Politics,14,735,0.0,0,0
blueliquidjuice,653,News & Politics,160,2746,3.5,4,4
harveyhead,727,Comedy,78,86,5.0,1,1
valerie96761,654,People & Blogs,94,47,0.0,0,0
lilmzluvable53,353,Entertainment,9,523,0.0,0,0
amrbasha,422,Comedy,14,562,1.0,1,0
swingfire,735,Entertainment,20,140,5.0,1,0
Hashboy890,491,People & Blogs,8,185,0.0,0,0
enterfullblown2000,461,Entertainment,154,172,0.0,0,0
fefeth,747,Sports,220,4809,5.0,25,10
rennestar,748,Sports,15,1046,5.0,3,0
Nukibag,478,Entertainment,92,7522,4.71,14,13
poloxmx,589,Entertainment,526,4549,4.07,28,18
esaax,660,Film & Animation,511,2775,3.67,6,3
giomic,668,Entertainment,276,1182,4.8,5,4
giovannimicci,663,Film & Animation,92,1409,5.0,6,0
Bestiacane,742,Entertainment,120,231,0.0,0,0
chiminch,728,News & Politics,303,340,5.0,2,0
giomic,721,News & Politics,266,202,5.0,2,1
chiminch,728,Entertainment,629,77,5.0,1,0
giomic,717,News & Politics,252,257,5.0,3,0
chiminch,707,Entertainment,465,99,5.0,1,0
chiminch,728,News & Politics,318,130,5.0,1,0
giomic,710,News & Politics,175,129,5.0,1,1
chiminch,730,News & Politics,295,59,5.0,1,0
